,Unnamed: 0,match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,filename,ball_count,out,striker_out,non_striker_out,bowler_out,dot,dotball,boundary,bowler_conceded_runs,noballcount,bowlerdotball,powerplay
400531,1440831,936159,2016/17,2017-01-28,St George's Park,1,0.1,Sri Lanka,South Africa,N Dickwella,DS Weerakkody,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400532,1440832,936159,2016/17,2017-01-28,St George's Park,1,0.2,Sri Lanka,South Africa,N Dickwella,DS Weerakkody,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400533,1440833,936159,2016/17,2017-01-28,St George's Park,1,0.3,Sri Lanka,South Africa,N Dickwella,DS Weerakkody,K Rabada,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,powerplay
400534,1440834,936159,2016/17,2017-01-28,St George's Park,1,0.4,Sri Lanka,South Africa,DS Weerakkody,N Dickwella,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400535,1440835,936159,2016/17,2017-01-28,St George's Park,1,0.5,Sri Lanka,South Africa,DS Weerakkody,N Dickwella,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400536,1440836,936159,2016/17,2017-01-28,St George's Park,1,0.6,Sri Lanka,South Africa,DS Weerakkody,N Dickwella,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400537,1440837,936159,2016/17,2017-01-28,St George's Park,1,1.1,Sri Lanka,South Africa,N Dickwella,DS Weerakkody,WD Parnell,0,0,,,,,,lbw,N Dickwella,,,936159.csv,1,1,1,0,1,1,1,0,0.0,0,1,powerplay
400538,1440838,936159,2016/17,2017-01-28,St George's Park,1,1.2,Sri Lanka,South Africa,BKG Mendis,DS Weerakkody,WD Parnell,4,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,1,4.0,0,0,powerplay
400539,1440839,936159,2016/17,2017-01-28,St George's Park,1,1.3,Sri Lanka,South Africa,BKG Mendis,DS Weerakkody,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400540,1440840,936159,2016/17,2017-01-28,St George's Park,1,1.4,Sri Lanka,South Africa,BKG Mendis,DS Weerakkody,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400541,1440841,936159,2016/17,2017-01-28,St George's Park,1,1.5,Sri Lanka,South Africa,BKG Mendis,DS Weerakkody,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400542,1440842,936159,2016/17,2017-01-28,St George's Park,1,1.6,Sri Lanka,South Africa,BKG Mendis,DS Weerakkody,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400543,1440843,936159,2016/17,2017-01-28,St George's Park,1,2.1,Sri Lanka,South Africa,DS Weerakkody,BKG Mendis,K Rabada,4,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,1,4.0,0,0,powerplay
400544,1440844,936159,2016/17,2017-01-28,St George's Park,1,2.2,Sri Lanka,South Africa,DS Weerakkody,BKG Mendis,K Rabada,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,powerplay
400545,1440845,936159,2016/17,2017-01-28,St George's Park,1,2.3,Sri Lanka,South Africa,BKG Mendis,DS Weerakkody,K Rabada,4,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,1,4.0,0,0,powerplay
400546,1440846,936159,2016/17,2017-01-28,St George's Park,1,2.4,Sri Lanka,South Africa,BKG Mendis,DS Weerakkody,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400547,1440847,936159,2016/17,2017-01-28,St George's Park,1,2.5,Sri Lanka,South Africa,BKG Mendis,DS Weerakkody,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400548,1440848,936159,2016/17,2017-01-28,St George's Park,1,2.6,Sri Lanka,South Africa,BKG Mendis,DS Weerakkody,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400549,1440849,936159,2016/17,2017-01-28,St George's Park,1,3.1,Sri Lanka,South Africa,DS Weerakkody,BKG Mendis,WD Parnell,0,0,,,,,,caught,DS Weerakkody,,,936159.csv,1,1,1,0,1,1,1,0,0.0,0,1,powerplay
400550,1440850,936159,2016/17,2017-01-28,St George's Park,1,3.2,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400551,1440851,936159,2016/17,2017-01-28,St George's Park,1,3.3,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,WD Parnell,2,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,2.0,0,0,powerplay
400552,1440852,936159,2016/17,2017-01-28,St George's Park,1,3.4,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400553,1440853,936159,2016/17,2017-01-28,St George's Park,1,3.5,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400554,1440854,936159,2016/17,2017-01-28,St George's Park,1,3.6,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400555,1440855,936159,2016/17,2017-01-28,St George's Park,1,4.1,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400556,1440856,936159,2016/17,2017-01-28,St George's Park,1,4.2,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400557,1440857,936159,2016/17,2017-01-28,St George's Park,1,4.3,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400558,1440858,936159,2016/17,2017-01-28,St George's Park,1,4.4,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400559,1440859,936159,2016/17,2017-01-28,St George's Park,1,4.5,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400560,1440860,936159,2016/17,2017-01-28,St George's Park,1,4.6,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400561,1440861,936159,2016/17,2017-01-28,St George's Park,1,5.1,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400562,1440862,936159,2016/17,2017-01-28,St George's Park,1,5.2,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400563,1440863,936159,2016/17,2017-01-28,St George's Park,1,5.3,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400564,1440864,936159,2016/17,2017-01-28,St George's Park,1,5.4,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400565,1440865,936159,2016/17,2017-01-28,St George's Park,1,5.5,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400566,1440866,936159,2016/17,2017-01-28,St George's Park,1,5.6,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400567,1440867,936159,2016/17,2017-01-28,St George's Park,1,6.1,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400568,1440868,936159,2016/17,2017-01-28,St George's Park,1,6.2,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400569,1440869,936159,2016/17,2017-01-28,St George's Park,1,6.3,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400570,1440870,936159,2016/17,2017-01-28,St George's Park,1,6.4,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,K Rabada,4,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,1,4.0,0,0,powerplay
400571,1440871,936159,2016/17,2017-01-28,St George's Park,1,6.5,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400572,1440872,936159,2016/17,2017-01-28,St George's Park,1,6.6,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,K Rabada,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400573,1440873,936159,2016/17,2017-01-28,St George's Park,1,7.1,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400574,1440874,936159,2016/17,2017-01-28,St George's Park,1,7.2,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,WD Parnell,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,powerplay
400575,1440875,936159,2016/17,2017-01-28,St George's Park,1,7.3,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400576,1440876,936159,2016/17,2017-01-28,St George's Park,1,7.4,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,WD Parnell,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400577,1440877,936159,2016/17,2017-01-28,St George's Park,1,7.5,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,WD Parnell,4,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,1,4.0,0,0,powerplay
400578,1440878,936159,2016/17,2017-01-28,St George's Park,1,7.6,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,WD Parnell,4,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,1,4.0,0,0,powerplay
400579,1440879,936159,2016/17,2017-01-28,St George's Park,1,8.1,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400580,1440880,936159,2016/17,2017-01-28,St George's Park,1,8.2,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400581,1440881,936159,2016/17,2017-01-28,St George's Park,1,8.3,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400582,1440882,936159,2016/17,2017-01-28,St George's Park,1,8.4,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400583,1440883,936159,2016/17,2017-01-28,St George's Park,1,8.5,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400584,1440884,936159,2016/17,2017-01-28,St George's Park,1,8.6,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400585,1440885,936159,2016/17,2017-01-28,St George's Park,1,9.1,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400586,1440886,936159,2016/17,2017-01-28,St George's Park,1,9.2,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400587,1440887,936159,2016/17,2017-01-28,St George's Park,1,9.3,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400588,1440888,936159,2016/17,2017-01-28,St George's Park,1,9.4,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,4,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,1,4.0,0,0,powerplay
400589,1440889,936159,2016/17,2017-01-28,St George's Park,1,9.5,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,powerplay
400590,1440890,936159,2016/17,2017-01-28,St George's Park,1,9.6,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,4,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,1,4.0,0,0,powerplay
400591,1440891,936159,2016/17,2017-01-28,St George's Park,1,10.1,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,2,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,2.0,0,0,middle overs
400592,1440892,936159,2016/17,2017-01-28,St George's Park,1,10.2,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400593,1440893,936159,2016/17,2017-01-28,St George's Park,1,10.3,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400594,1440894,936159,2016/17,2017-01-28,St George's Park,1,10.4,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400595,1440895,936159,2016/17,2017-01-28,St George's Park,1,10.5,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400596,1440896,936159,2016/17,2017-01-28,St George's Park,1,10.6,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400597,1440897,936159,2016/17,2017-01-28,St George's Park,1,11.1,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400598,1440898,936159,2016/17,2017-01-28,St George's Park,1,11.2,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,AL Phehlukwayo,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400599,1440899,936159,2016/17,2017-01-28,St George's Park,1,11.3,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400600,1440900,936159,2016/17,2017-01-28,St George's Park,1,11.4,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400601,1440901,936159,2016/17,2017-01-28,St George's Park,1,11.5,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,AL Phehlukwayo,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400602,1440902,936159,2016/17,2017-01-28,St George's Park,1,11.6,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,4,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,1,4.0,0,0,middle overs
400603,1440903,936159,2016/17,2017-01-28,St George's Park,1,12.1,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400604,1440904,936159,2016/17,2017-01-28,St George's Park,1,12.2,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400605,1440905,936159,2016/17,2017-01-28,St George's Park,1,12.3,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400606,1440906,936159,2016/17,2017-01-28,St George's Park,1,12.4,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400607,1440907,936159,2016/17,2017-01-28,St George's Park,1,12.5,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400608,1440908,936159,2016/17,2017-01-28,St George's Park,1,12.6,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,0,1,1.0,,,,,,,,,936159.csv,0,0,0,0,0,1,0,0,1.0,0,0,middle overs
400609,1440909,936159,2016/17,2017-01-28,St George's Park,1,12.7,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,0,1,1.0,,,,,,,,,936159.csv,0,0,0,0,0,1,0,0,1.0,0,0,middle overs
400610,1440910,936159,2016/17,2017-01-28,St George's Park,1,12.8,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400611,1440911,936159,2016/17,2017-01-28,St George's Park,1,13.1,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400612,1440912,936159,2016/17,2017-01-28,St George's Park,1,13.2,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,AL Phehlukwayo,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400613,1440913,936159,2016/17,2017-01-28,St George's Park,1,13.3,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400614,1440914,936159,2016/17,2017-01-28,St George's Park,1,13.4,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,1,,,,1.0,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400615,1440915,936159,2016/17,2017-01-28,St George's Park,1,13.5,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400616,1440916,936159,2016/17,2017-01-28,St George's Park,1,13.6,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400617,1440917,936159,2016/17,2017-01-28,St George's Park,1,14.1,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400618,1440918,936159,2016/17,2017-01-28,St George's Park,1,14.2,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400619,1440919,936159,2016/17,2017-01-28,St George's Park,1,14.3,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400620,1440920,936159,2016/17,2017-01-28,St George's Park,1,14.4,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400621,1440921,936159,2016/17,2017-01-28,St George's Park,1,14.5,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400622,1440922,936159,2016/17,2017-01-28,St George's Park,1,14.6,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400623,1440923,936159,2016/17,2017-01-28,St George's Park,1,15.1,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400624,1440924,936159,2016/17,2017-01-28,St George's Park,1,15.2,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400625,1440925,936159,2016/17,2017-01-28,St George's Park,1,15.3,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400626,1440926,936159,2016/17,2017-01-28,St George's Park,1,15.4,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400627,1440927,936159,2016/17,2017-01-28,St George's Park,1,15.5,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400628,1440928,936159,2016/17,2017-01-28,St George's Park,1,15.6,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,1,1.0,,,,,,,,,936159.csv,0,0,0,0,0,1,0,0,1.0,0,0,middle overs
400629,1440929,936159,2016/17,2017-01-28,St George's Park,1,15.7,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400630,1440930,936159,2016/17,2017-01-28,St George's Park,1,16.1,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400631,1440931,936159,2016/17,2017-01-28,St George's Park,1,16.2,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400632,1440932,936159,2016/17,2017-01-28,St George's Park,1,16.3,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400633,1440933,936159,2016/17,2017-01-28,St George's Park,1,16.4,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400634,1440934,936159,2016/17,2017-01-28,St George's Park,1,16.5,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400635,1440935,936159,2016/17,2017-01-28,St George's Park,1,16.6,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400636,1440936,936159,2016/17,2017-01-28,St George's Park,1,17.1,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400637,1440937,936159,2016/17,2017-01-28,St George's Park,1,17.2,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400638,1440938,936159,2016/17,2017-01-28,St George's Park,1,17.3,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400639,1440939,936159,2016/17,2017-01-28,St George's Park,1,17.4,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,AL Phehlukwayo,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400640,1440940,936159,2016/17,2017-01-28,St George's Park,1,17.5,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400641,1440941,936159,2016/17,2017-01-28,St George's Park,1,17.6,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,AL Phehlukwayo,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400642,1440942,936159,2016/17,2017-01-28,St George's Park,1,18.1,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400643,1440943,936159,2016/17,2017-01-28,St George's Park,1,18.2,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400644,1440944,936159,2016/17,2017-01-28,St George's Park,1,18.3,Sri Lanka,South Africa,LD Chandimal,BKG Mendis,CH Morris,1,0,,,,,,,,,,936159.csv,1,0,0,0,0,0,0,0,1.0,0,0,middle overs
400645,1440945,936159,2016/17,2017-01-28,St George's Park,1,18.4,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
400646,1440946,936159,2016/17,2017-01-28,St George's Park,1,18.5,Sri Lanka,South Africa,BKG Mendis,LD Chandimal,CH Morris,0,0,,,,,,,,,,936159.csv,1,0,0,0,0,1,1,0,0.0,0,1,middle overs
